1612-lun1.csv,377410, 1.0000
1612-lun1.csv,377410, 0.2137
1612-lun1.csv,377410, 80645, 0.2137
1612-lun1.csv,377410, 80645, 0.2137
1612-lun1.csv,377410, 11365, 0.0301
2016021614-LUN0.csv,458386, 13238, 0.0289
2016021616-LUN1.csv,460819, 12913, 0.0280
2016021617-LUN2.csv,340245, 10098, 0.0297
2016021618-LUN4.csv,262647, 7374, 0.0281
2016021618-LUN6.csv,373823, 12234, 0.0327
2016021718-LUN4.csv,219869, 6258, 0.0285

2016021718-LUN4.csv,219869, 5272, 0.0240
2016021618-LUN6.csv,373823, 10441, 0.0279
2016021618-LUN4.csv,262647, 6305, 0.0240
2016021617-LUN2.csv,340245, 8621, 0.0253
2016021616-LUN1.csv,460819, 11317, 0.0246
2016021614-LUN0.csv,458386, 11854, 0.0259
2016021614-LUN0.csv,458386, 4853, 0.0106
2016021616-LUN1.csv,460819, 3438, 0.0075
2016021617-LUN2.csv,340245, 2664, 0.0078
2016021618-LUN4.csv,262647, 2182, 0.0083
2016021618-LUN6.csv,373823, 3494, 0.0093
2016021718-LUN4.csv,219869, 1900, 0.0086
2016021718-LUN4.csv,219869, 2189, 0.0100
2016021718-LUN4.csv,219869, 6060, 0.0276
2016021718-LUN4.csv,219869, 19570, 0.0890
2016021718-LUN4.csv,219869, 19570, 0.0890

2016021718-LUN4.csv,219869, 6060, 0.0276
2016021618-LUN6.csv,373823, 11620, 0.0311
2016021618-LUN4.csv,262647, 7161, 0.0273
2016021617-LUN2.csv,340245, 9777, 0.0287
2016021616-LUN1.csv,460819, 12037, 0.0261
2016021614-LUN0.csv,458386, 13700, 0.0299
